Matchup,Battles,Winrate
Colossus/VoidRay vs Mutalisk/SwarmHostBurrowed,1,0.0
Baneling/Ultralisk vs Stalker/VoidRay,1,0.0
Adept/VoidRay vs Carrier/Ravager,1,0.0
Carrier/Liberator vs Oracle/Raven,1,0.0
Baneling/Reaper vs Mutalisk/Phoenix,1,0.0
Archon/Ultralisk vs Oracle/SiegeTankSieged,1,0.0
Banshee/Ghost vs Ravager/Ultralisk,1,0.0
Banshee/VoidRay vs Tempest/Zergling,1,0.0
Archon/Lurker vs Raven/Ultralisk,1,0.0
Marine/Roach vs Oracle/SwarmHostBurrowed,1,0.0
Adept/Liberator vs Carrier/Zealot,1,0.0
Banshee/Battlecruiser vs Cyclone/VoidRay,1,0.0
BattleHellion/VoidRay vs Hellion/ThorAP,1,0.0
Carrier/Zealot vs Ghost/Queen,1,0.0
Archon/Oracle vs Battlecruiser/WidowMineBurrowed,1,0.0
Corruptor/HighTemplar vs Mothership/Thor,1,0.0
Carrier/SiegeTankSieged vs Stalker/Zergling,1,0.0
Adept/Roach vs BattleHellion/Colossus,1,0.0
DarkTemplar/Hellion vs Raven/Stalker,1,0.0
Battlecruiser/Stalker vs Immortal/Raven,1,0.0
Baneling/BroodLord vs HighTemplar/Ravager,1,0.0
BattleHellion/Marauder vs Battlecruiser/Queen,1,0.0
HighTemplar/VoidRay vs Tempest/Zealot,1,0.0
Carrier/Infestor vs Ghost/Medivac,1,0.0
Carrier/Phoenix vs Lurker/Raven,1,0.0
Colossus/DarkTemplar vs Corruptor/Oracle,1,0.0
Queen/Tempest vs ThorAP/VikingAssault,1,0.0
Battlecruiser/Liberator vs Carrier/Stalker,1,0.0
Battlecruiser/Zergling vs Infestor/Tempest,1,0.0
Carrier/Zergling vs Immortal/VoidRay,1,0.0
Banshee/HighTemplar vs Battlecruiser/DarkTemplar,1,0.0
Baneling/WidowMine vs Hydralisk/Reaper,1,0.0
Banshee/Raven vs Immortal/Phoenix,1,0.0
Adept/HighTemplar vs BroodLord/DarkTemplar,1,0.0
Archon/Ravager vs Baneling/Raven,1,0.0
Ghost/Hellion vs Lurker/Roach,1,0.0
Archon/Stalker vs Battlecruiser/Tempest,1,0.0
Adept/SwarmHostBurrowed vs BroodLord/Ultralisk,1,0.0
Battlecruiser/SiegeTank vs BroodLord/VoidRay,1,0.0
Banshee/Stalker vs Battlecruiser/VoidRay,1,0.0
Marine/Mothership vs Medivac/Queen,1,0.0
Carrier/Cyclone vs Ghost/Tempest,1,0.0
HighTemplar/Mutalisk vs Oracle/Raven,1,0.0
Corruptor/Reaper vs Phoenix/Raven,1,0.0
Baneling/HighTemplar vs Colossus/DarkTemplar,1,0.0
Baneling/Mutalisk vs Battlecruiser/HighTemplar,1,0.0
Banshee/Immortal vs Raven/Thor,1,0.0
Archon/Hellion vs Banshee/BroodLord,1,0.0
Carrier/Corruptor vs DarkTemplar/Liberator,1,0.0
Carrier/VoidRay vs Phoenix/Ravager,1,0.0
Archon/Liberator vs Mutalisk/Tempest,1,0.0
Archon/Cyclone vs Baneling/Queen,1,0.0
Archon/Raven vs Carrier/WidowMineBurrowed,1,0.0
Adept/Battlecruiser vs Corruptor/Oracle,1,0.0
Battlecruiser/Stalker vs Ravager/Zergling,1,0.0
DarkTemplar/SiegeTank vs Ghost/Raven,1,0.0
Marine/Roach vs Raven/VikingAssault,1,0.0
LurkerBurrowed/Mutalisk vs Queen/Ravager,1,0.0
BroodLord/SiegeTankSieged vs Roach/VikingAssault,1,0.0
Colossus/Mutalisk vs Phoenix/Raven,1,0.0
Adept/HighTemplar vs Queen/SwarmHostBurrowed,1,0.0
Adept/Oracle vs Tempest/Zergling,1,0.0
BattleHellion/VikingAssault vs Hydralisk/Roach,1,0.0
DarkTemplar/Ghost vs Phoenix/Raven,1,0.0
BroodLord/VoidRay vs Phoenix/Tempest,1,0.0
BattleHellion/VoidRay vs Battlecruiser/Liberator,1,0.0
Archon/Ghost vs Marine/Reaper,1,0.0
Battlecruiser/BroodLord vs Phoenix/Raven,1,0.0
Adept/Corruptor vs Immortal/Ravager,1,0.0
BattleHellion/ThorAP vs Battlecruiser/HighTemplar,1,0.0
Archon/Roach vs Carrier/SiegeTankSieged,1,0.0
Cyclone/Marine vs Mutalisk/Phoenix,1,0.0
Cyclone/Marauder vs Raven/ThorAP,1,0.0
