Unit,Battles,Winrate
SwarmHost,1,0.0
SCV,16,0.15625
Viking,297,0.1734006734006734
SiegeTankSieged,290,0.23275862068965517
WidowMineBurrowed,265,0.2528301886792453
LurkerBurrowed,201,0.2562189054726368
Hellion,510,0.3558823529411765
Drone,11,0.36363636363636365
Medivac,141,0.36879432624113473
Reaper,557,0.38330341113105926
Roach,635,0.3850393700787402
Zealot,628,0.39331210191082805
Marauder,610,0.39344262295081966
Adept,650,0.3984615384615385
LiberatorAG,135,0.4074074074074074
Zergling,615,0.4105691056910569
Overlord,17,0.4117647058823529
SiegeTank,195,0.41794871794871796
BattleHellion,601,0.4193011647254576
Mothership,359,0.42479108635097496
Hydralisk,743,0.43405114401076716
Colossus,730,0.4397260273972603
Probe,17,0.4411764705882353
Banshee,722,0.4452908587257618
Immortal,794,0.4464735516372796
SwarmHostBurrowed,548,0.4489051094890511
Corruptor,902,0.4639689578713969
Cyclone,767,0.4771838331160365
Stalker,830,0.48132530120481926
HighTemplar,849,0.4817432273262662
Marine,739,0.4824086603518268
Ravager,711,0.48241912798874825
Ultralisk,870,0.4902298850574713
BroodLord,907,0.49173098125689085
Oracle,713,0.4957924263674614
Lurker,175,0.49714285714285716
Mutalisk,780,0.5128205128205128
Baneling,811,0.5129469790382244
Queen,1022,0.5181017612524462
ThorAP,689,0.5391872278664731
Phoenix,924,0.54004329004329
Archon,936,0.5448717948717948
Tempest,1060,0.5528301886792453
Ghost,919,0.5647442872687704
VoidRay,1046,0.5664435946462715
Liberator,599,0.5792988313856428
VikingAssault,434,0.5794930875576036
DarkTemplar,1606,0.5812577833125778
Infestor,960,0.5921875
Thor,189,0.6216931216931217
Battlecruiser,1178,0.6311544991511036
Carrier,1180,0.6550847457627119
Raven,1184,0.6790540540540541
WidowMine,60,0.6916666666666667
